"Runtime","Duration","Iteration"
"Deno","102","0"
"Deno","102","1"
"Deno","102","2"
"Deno","102","3"
"Deno","100","4"
"Deno","102","5"
"Deno","102","6"
"Deno","102","7"
"Deno","100","8"
"Deno","102","9"
"Deno","102","10"
"Deno","102","11"
"Deno","102","12"
"Deno","102","13"
"Deno","102","14"
"Deno","100","15"
"Deno","100","16"
"Deno","100","17"
"Deno","102","18"
"Deno","100","19"
"Deno","102","20"
"Deno","102","21"
"Deno","102","22"
"Deno","100","23"
"Deno","102","24"
"Deno","100","25"
"Deno","102","26"
"Deno","100","27"
"Deno","100","28"
"Deno","102","29"
"Deno","100","30"
"Deno","100","31"
"Deno","100","32"
"Deno","102","33"
"Deno","100","34"
"Deno","102","35"
"Deno","100","36"
"Deno","102","37"
"Deno","102","38"
"Deno","100","39"
"Deno","102","40"
"Deno","102","41"
"Deno","102","42"
"Deno","102","43"
"Deno","100","44"
"Deno","100","45"
"Deno","100","46"
"Deno","102","47"
"Deno","100","48"
"Deno","102","49"
"Deno","102","50"
"Deno","102","51"
"Deno","102","52"
"Deno","100","53"
"Deno","102","54"
"Deno","102","55"
"Deno","102","56"
"Deno","102","57"
"Deno","100","58"
"Deno","100","59"
"Deno","102","60"
"Deno","102","61"
"Deno","100","62"
"Deno","100","63"
"Deno","100","64"
"Deno","102","65"
"Deno","100","66"
"Deno","102","67"
"Deno","100","68"
"Deno","102","69"
"Deno","100","70"
"Deno","100","71"
"Deno","100","72"
"Deno","102","73"
"Deno","102","74"
"Deno","100","75"
"Deno","100","76"
"Deno","100","77"
"Deno","102","78"
"Deno","102","79"
"Deno","102","80"
"Deno","102","81"
"Deno","100","82"
"Deno","100","83"
"Deno","102","84"
"Deno","102","85"
"Deno","100","86"
"Deno","100","87"
"Deno","100","88"
"Deno","100","89"
"Deno","100","90"
"Deno","102","91"
"Deno","102","92"
"Deno","102","93"
"Deno","100","94"
"Deno","102","95"
"Deno","100","96"
"Deno","102","97"
"Deno","102","98"
"Deno","100","99"
"Bun","100,32","0"
"Bun","100,28","1"
"Bun","100,3","2"
"Bun","100,35","3"
"Bun","100,31","4"
"Bun","100,29","5"
"Bun","100,32","6"
"Bun","100,32","7"
"Bun","100,37","8"
"Bun","100,27","9"
"Bun","100,29","10"
"Bun","100,37","11"
"Bun","100,29","12"
"Bun","100,32","13"
"Bun","100,26","14"
"Bun","100,29","15"
"Bun","100,29","16"
"Bun","100,27","17"
"Bun","100,39","18"
"Bun","100,33","19"
"Bun","100,3","20"
"Bun","100,32","21"
"Bun","100,31","22"
"Bun","100,29","23"
"Bun","100,31","24"
"Bun","100,33","25"
"Bun","100,32","26"
"Bun","100,92","27"
"Bun","100,31","28"
"Bun","100,29","29"
"Bun","100,3","30"
"Bun","100,31","31"
"Bun","100,32","32"
"Bun","100,27","33"
"Bun","100,3","34"
"Bun","100,32","35"
"Bun","100,31","36"
"Bun","100,31","37"
"Bun","100,27","38"
"Bun","100,28","39"
"Bun","100,33","40"
"Bun","100,35","41"
"Bun","100,28","42"
"Bun","100,38","43"
"Bun","100,3","44"
"Bun","100,32","45"
"Bun","100,34","46"
"Bun","100,32","47"
"Bun","100,27","48"
"Bun","100,27","49"
"Bun","100,3","50"
"Bun","100,34","51"
"Bun","100,33","52"
"Bun","100,32","53"
"Bun","100,28","54"
"Bun","100,28","55"
"Bun","100,29","56"
"Bun","100,29","57"
"Bun","100,27","58"
"Bun","100,35","59"
"Bun","100,32","60"
"Bun","100,35","61"
"Bun","100,29","62"
"Bun","100,4","63"
"Bun","100,31","64"
"Bun","100,29","65"
"Bun","100,31","66"
"Bun","100,33","67"
"Bun","100,34","68"
"Bun","100,37","69"
"Bun","100,3","70"
"Bun","100,29","71"
"Bun","100,29","72"
"Bun","100,29","73"
"Bun","100,33","74"
"Bun","100,31","75"
"Bun","100,37","76"
"Bun","100,27","77"
"Bun","100,31","78"
"Bun","100,3","79"
"Bun","100,29","80"
"Bun","100,28","81"
"Bun","100,31","82"
"Bun","100,32","83"
"Bun","100,3","84"
"Bun","100,26","85"
"Bun","100,3","86"
"Bun","100,28","87"
"Bun","100,33","88"
"Bun","100,3","89"
"Bun","100,35","90"
"Bun","100,33","91"
"Bun","100,26","92"
"Bun","100,33","93"
"Bun","100,33","94"
"Bun","100,35","95"
"Bun","100,3","96"
"Bun","100,38","97"
"Bun","100,28","98"
"Bun","100,31","99"
